Ship_id,Order_ID,Ship_Mode,Ship_Date
SHP_5977,30469,REGULAR AIR,27-12-12
SHP_6022,53120,REGULAR AIR,19-5-12
SHP_5946,19207,REGULAR AIR,17-3-12
SHP_5925,8868,REGULAR AIR,6-2-09
SHP_5947,19207,REGULAR AIR,16-3-12
SHP_5984,35456,REGULAR AIR,3-11-12
SHP_5962,23427,REGULAR AIR,15-8-11
SHP_5963,23427,REGULAR AIR,17-8-11
SHP_5926,8868,REGULAR AIR,1-2-09
SHP_264,31393,REGULAR AIR,13-5-12
SHP_243,28870,REGULAR AIR,13-11-11
SHP_281,33159,REGULAR AIR,29-4-12
SHP_263,31393,REGULAR AIR,12-5-12
SHP_330,39846,REGULAR AIR,6-3-09
SHP_6422,32902,REGULAR AIR,5-3-12
SHP_6717,57891,REGULAR AIR,17-12-10
SHP_6449,35361,REGULAR AIR,7-4-09
SHP_6448,35361,EXPRESS AIR,7-4-09
SHP_6659,53283,REGULAR AIR,29-10-11
SHP_6421,32902,DELIVERY TRUCK,5-3-12
SHP_6485,38850,DELIVERY TRUCK,1-5-10
SHP_6575,45254,DELIVERY TRUCK,27-7-10
SHP_6641,51267,DELIVERY TRUCK,8-5-12
SHP_4652,28741,REGULAR AIR,1-3-11
SHP_4652,28741,REGULAR AIR,1-3-11
SHP_4676,31910,REGULAR AIR,30-10-09
SHP_6786,11074,REGULAR AIR,11-6-11
SHP_6842,35875,REGULAR AIR,14-6-11
SHP_6814,23685,REGULAR AIR,30-6-12
SHP_6787,11074,REGULAR AIR,10-6-11
SHP_6818,26053,EXPRESS AIR,24-1-12
SHP_6805,19234,REGULAR AIR,24-1-09
SHP_2243,50854,EXPRESS AIR,17-12-11
SHP_2094,34082,REGULAR AIR,30-10-11
SHP_2242,50854,DELIVERY TRUCK,19-12-11
SHP_1881,12263,REGULAR AIR,6-7-11
SHP_2239,50566,REGULAR AIR,9-9-11
SHP_1929,16771,REGULAR AIR,30-9-09
SHP_2049,28033,DELIVERY TRUCK,16-9-10
SHP_2049,28033,DELIVERY TRUCK,16-9-10
SHP_2093,34082,REGULAR AIR,29-10-11
SHP_2093,34082,REGULAR AIR,29-10-11
SHP_2241,50854,REGULAR AIR,17-12-11
SHP_2050,28033,REGULAR AIR,17-9-10
SHP_6680,55040,REGULAR AIR,12-4-09
SHP_6417,32129,REGULAR AIR,3-7-11
SHP_6697,56676,REGULAR AIR,26-10-12
SHP_6418,32129,DELIVERY TRUCK,4-7-11
SHP_6681,55040,DELIVERY TRUCK,14-4-09
SHP_6679,55040,REGULAR AIR,14-4-09
SHP_6679,55040,REGULAR AIR,14-4-09
SHP_5865,47909,REGULAR AIR,10-3-10
SHP_5866,47909,REGULAR AIR,11-3-10
SHP_5864,47909,REGULAR AIR,9-3-10
SHP_6381,28007,REGULAR AIR,9-4-10
SHP_6381,28007,REGULAR AIR,9-4-10
SHP_6381,28007,REGULAR AIR,9-4-10
SHP_6373,27363,REGULAR AIR,20-10-11
SHP_3687,30369,REGULAR AIR,25-3-11
SHP_3687,30369,REGULAR AIR,25-3-11
SHP_3672,28258,REGULAR AIR,13-3-09
SHP_3617,18241,DELIVERY TRUCK,29-7-10
SHP_3597,14247,REGULAR AIR,18-8-11
SHP_3616,18241,REGULAR AIR,29-7-10
SHP_3673,28258,REGULAR AIR,14-3-09
SHP_320,37793,REGULAR AIR,9-11-09
SHP_365,44772,EXPRESS AIR,2-4-09
SHP_156,18144,REGULAR AIR,9-6-11
SHP_156,18144,REGULAR AIR,9-6-11
SHP_156,18144,REGULAR AIR,9-6-11
SHP_363,44519,DELIVERY TRUCK,20-5-10
SHP_427,56453,DELIVERY TRUCK,12-4-12
SHP_362,44519,REGULAR AIR,20-5-10
SHP_362,44519,REGULAR AIR,20-5-10
SHP_351,43109,REGULAR AIR,22-12-12
SHP_351,43109,REGULAR AIR,22-12-12
SHP_351,43109,REGULAR AIR,22-12-12
SHP_313,36644,REGULAR AIR,14-5-12
SHP_3486,53668,REGULAR AIR,1-4-10
SHP_3388,36358,REGULAR AIR,14-5-09
SHP_3374,34727,EXPRESS AIR,17-3-11
SHP_3437,43877,EXPRESS AIR,15-3-10
SHP_3387,36358,REGULAR AIR,15-5-09
SHP_294,33894,REGULAR AIR,15-6-10
SHP_89,10535,REGULAR AIR,3-6-11
SHP_293,33894,REGULAR AIR,17-6-10
SHP_116,13346,REGULAR AIR,20-11-12
SHP_355,43329,REGULAR AIR,10-3-10
SHP_87,10499,DELIVERY TRUCK,17-11-10
SHP_211,26182,DELIVERY TRUCK,19-1-10
SHP_379,47873,REGULAR AIR,15-11-10
SHP_95,11456,REGULAR AIR,19-4-10
SHP_88,10535,REGULAR AIR,29-5-11
SHP_295,33894,REGULAR AIR,16-6-10
SHP_296,33894,EXPRESS AIR,16-6-10
SHP_423,55366,REGULAR AIR,11-10-12
SHP_1627,41026,EXPRESS AIR,19-4-11
SHP_1622,38853,REGULAR AIR,27-3-12
SHP_4050,44737,REGULAR AIR,21-11-12
SHP_1600,17985,REGULAR AIR,14-4-11
SHP_4088,56646,REGULAR AIR,20-5-10
SHP_4079,54181,DELIVERY TRUCK,20-5-12
SHP_1606,27456,DELIVERY TRUCK,11-4-09
SHP_4063,47971,REGULAR AIR,30-10-12
SHP_1626,41026,DELIVERY TRUCK,20-4-11
SHP_1599,17985,DELIVERY TRUCK,13-4-11
SHP_4049,44737,REGULAR AIR,20-11-12
SHP_1805,646,REGULAR AIR,22-11-09
SHP_1979,20261,EXPRESS AIR,21-5-09
SHP_1978,20261,REGULAR AIR,23-5-09
SHP_1806,835,REGULAR AIR,8-10-11
SHP_2283,54914,REGULAR AIR,29-8-11
SHP_2092,33477,REGULAR AIR,21-10-12
SHP_1977,20261,EXPRESS AIR,20-5-09
SHP_2284,54914,REGULAR AIR,30-8-11
SHP_2017,24546,REGULAR AIR,27-3-12
SHP_2271,53312,REGULAR AIR,5-7-09
SHP_2037,26279,REGULAR AIR,1-8-09
SHP_2215,46528,REGULAR AIR,9-12-09
SHP_1834,5381,REGULAR AIR,4-2-10
SHP_1834,5381,REGULAR AIR,4-2-10
SHP_2270,53312,REGULAR AIR,6-7-09
SHP_2214,46528,EXPRESS AIR,8-12-09
SHP_2237,49924,REGULAR AIR,27-5-11
SHP_2237,49924,REGULAR AIR,27-5-11
SHP_2033,26050,REGULAR AIR,17-6-11
SHP_2311,58598,DELIVERY TRUCK,23-8-11
SHP_1859,9893,DELIVERY TRUCK,19-8-09
SHP_2312,58598,REGULAR AIR,23-8-11
SHP_1807,896,REGULAR AIR,8-3-10
SHP_1969,19653,REGULAR AIR,11-9-12
SHP_2286,55270,REGULAR AIR,23-1-10
SHP_1994,22272,REGULAR AIR,8-5-12
SHP_1994,22272,REGULAR AIR,8-5-12
SHP_1816,2628,REGULAR AIR,26-10-10
SHP_2173,42657,REGULAR AIR,5-10-11
SHP_2227,48357,REGULAR AIR,28-3-09
SHP_1817,2628,DELIVERY TRUCK,30-10-10
SHP_2160,41282,REGULAR AIR,6-7-09
SHP_2222,47301,REGULAR AIR,22-7-11
SHP_825,9573,REGULAR AIR,14-6-12
SHP_814,1282,REGULAR AIR,29-2-12
SHP_814,1282,REGULAR AIR,29-2-12
SHP_819,2848,REGULAR AIR,11-3-12
SHP_818,2848,EXPRESS AIR,11-3-12
SHP_822,8390,REGULAR AIR,21-4-12
SHP_656,58117,REGULAR AIR,21-2-11
SHP_4115,54595,REGULAR AIR,30-4-09
SHP_4165,54595,DELIVERY TRUCK,1-5-09
SHP_2005,23426,REGULAR AIR,17-2-11
SHP_1893,13479,REGULAR AIR,5-12-09
SHP_2272,53637,EXPRESS AIR,18-3-11
SHP_1973,19782,REGULAR AIR,22-10-12
SHP_2002,23008,EXPRESS AIR,11-10-09
SHP_2002,23008,EXPRESS AIR,11-10-09
SHP_2004,23426,REGULAR AIR,18-2-11
SHP_2133,38052,REGULAR AIR,15-2-12
SHP_1892,13479,REGULAR AIR,6-12-09
SHP_1843,6918,REGULAR AIR,3-7-11
SHP_2071,31046,REGULAR AIR,10-2-11
SHP_1800,230,REGULAR AIR,28-10-10
SHP_1800,230,REGULAR AIR,28-10-10
SHP_1939,17377,REGULAR AIR,30-10-11
SHP_1998,22849,EXPRESS AIR,16-2-11
SHP_1943,17668,EXPRESS AIR,26-11-09
SHP_2070,31046,REGULAR AIR,8-2-11
SHP_1999,22849,REGULAR AIR,16-2-11
SHP_1999,22849,REGULAR AIR,16-2-11
SHP_2110,35877,REGULAR AIR,28-5-10
SHP_1942,17668,REGULAR AIR,26-11-09
SHP_1961,18661,DELIVERY TRUCK,10-9-12
SHP_1828,4354,REGULAR AIR,30-9-09
SHP_1964,18753,DELIVERY TRUCK,2-8-09
SHP_1960,18661,DELIVERY TRUCK,12-9-12
SHP_1963,18753,REGULAR AIR,2-8-09
SHP_1997,22849,REGULAR AIR,15-2-11
SHP_1941,17668,REGULAR AIR,27-11-09
SHP_6766,4835,REGULAR AIR,24-10-09
SHP_6808,19843,REGULAR AIR,29-7-10
SHP_6763,4391,REGULAR AIR,19-2-12
SHP_6785,11045,REGULAR AIR,26-3-12
SHP_6743,834,DELIVERY TRUCK,23-5-09
SHP_6775,6274,EXPRESS AIR,15-7-11
SHP_6802,18215,REGULAR AIR,20-9-10
SHP_7366,16390,REGULAR AIR,26-3-12
SHP_7375,19175,REGULAR AIR,26-8-09
SHP_7460,59170,REGULAR AIR,19-2-09
SHP_7460,59170,REGULAR AIR,19-2-09
SHP_7460,59170,REGULAR AIR,19-2-09
SHP_7443,50625,REGULAR AIR,24-4-09
SHP_7459,59170,REGULAR AIR,18-2-09
SHP_7330,1383,REGULAR AIR,27-4-10
SHP_7412,36455,REGULAR AIR,21-2-09
SHP_3226,5543,REGULAR AIR,26-9-10
SHP_3226,5543,REGULAR AIR,26-9-10
SHP_3460,49762,REGULAR AIR,17-6-11
SHP_3247,11683,REGULAR AIR,7-2-12
SHP_3227,5543,REGULAR AIR,27-9-10
SHP_3373,34657,EXPRESS AIR,14-5-10
SHP_3511,57025,REGULAR AIR,28-6-12
SHP_4579,19586,REGULAR AIR,3-11-12
SHP_4571,18853,REGULAR AIR,19-1-10
SHP_4498,8294,REGULAR AIR,21-6-12
SHP_4810,50275,REGULAR AIR,6-12-09
SHP_4602,22085,REGULAR AIR,11-3-12
SHP_4566,17058,REGULAR AIR,2-1-11
SHP_4809,50275,EXPRESS AIR,6-12-09
SHP_4618,24066,DELIVERY TRUCK,15-4-12
SHP_4711,35687,EXPRESS AIR,19-11-11
SHP_4780,46211,REGULAR AIR,18-6-10
SHP_4834,53568,DELIVERY TRUCK,29-6-10
SHP_4589,20229,REGULAR AIR,6-11-09
SHP_4603,22085,REGULAR AIR,9-3-12
SHP_655,57922,REGULAR AIR,8-2-11
SHP_642,54501,REGULAR AIR,30-11-12
SHP_643,54501,REGULAR AIR,1-12-12
SHP_643,54501,REGULAR AIR,1-12-12
SHP_622,50404,REGULAR AIR,28-3-11
SHP_620,50081,DELIVERY TRUCK,4-11-09
SHP_639,53703,REGULAR AIR,15-6-10
SHP_621,50404,REGULAR AIR,27-3-11
SHP_3965,21414,EXPRESS AIR,4-5-11
SHP_2382,21414,REGULAR AIR,5-5-11
SHP_2381,21414,REGULAR AIR,6-5-11
SHP_2381,21414,REGULAR AIR,6-5-11
SHP_3954,17379,DELIVERY TRUCK,16-8-11
SHP_2387,23174,DELIVERY TRUCK,28-7-12
SHP_2388,23174,REGULAR AIR,2-8-12
SHP_3942,14499,REGULAR AIR,19-11-10
SHP_482,11362,REGULAR AIR,12-9-12
SHP_482,11362,REGULAR AIR,12-9-12
SHP_484,11362,REGULAR AIR,14-9-12
SHP_547,28995,REGULAR AIR,13-5-10
SHP_547,28995,REGULAR AIR,13-5-10
SHP_610,47846,REGULAR AIR,12-8-12
SHP_610,47846,REGULAR AIR,12-8-12
SHP_556,30243,REGULAR AIR,7-5-10
SHP_556,30243,REGULAR AIR,7-5-10
SHP_609,47846,REGULAR AIR,13-8-12
SHP_609,47846,REGULAR AIR,13-8-12
SHP_580,37888,REGULAR AIR,24-12-09
SHP_483,11362,REGULAR AIR,15-9-12
SHP_5481,8293,REGULAR AIR,14-8-12
SHP_3459,49666,EXPRESS AIR,10-8-09
SHP_3277,18532,REGULAR AIR,21-10-11
SHP_3315,24613,REGULAR AIR,25-7-12
SHP_3315,24613,REGULAR AIR,25-7-12
SHP_3315,24613,REGULAR AIR,25-7-12
SHP_3207,3073,REGULAR AIR,8-1-09
SHP_3207,3073,REGULAR AIR,8-1-09
SHP_3275,17958,REGULAR AIR,15-8-11
SHP_3209,3168,REGULAR AIR,3-2-12
SHP_3378,35041,REGULAR AIR,15-4-09
SHP_3278,18532,REGULAR AIR,22-10-11
SHP_3208,3073,EXPRESS AIR,8-1-09
SHP_6699,56740,REGULAR AIR,20-10-12
SHP_6430,33317,REGULAR AIR,13-5-09
SHP_6430,33317,REGULAR AIR,13-5-09
SHP_6431,33317,REGULAR AIR,12-5-09
SHP_6698,56740,REGULAR AIR,18-10-12
SHP_6432,33317,REGULAR AIR,11-5-09
SHP_2621,23078,REGULAR AIR,17-9-11
SHP_2621,23078,REGULAR AIR,17-9-11
SHP_2575,2722,REGULAR AIR,12-4-09
SHP_477,10851,REGULAR AIR,6-4-09
SHP_238,28135,REGULAR AIR,25-9-09
SHP_237,28135,REGULAR AIR,27-9-09
SHP_328,39683,REGULAR AIR,11-8-11
SHP_328,39683,REGULAR AIR,11-8-11
SHP_329,39683,REGULAR AIR,12-8-11
SHP_327,39683,REGULAR AIR,13-8-11
SHP_832,10661,REGULAR AIR,24-1-09
SHP_1142,44098,REGULAR AIR,31-1-10
SHP_5328,15524,REGULAR AIR,12-5-12
SHP_5318,13542,REGULAR AIR,8-3-09
SHP_5317,13542,DELIVERY TRUCK,15-3-09
SHP_394,50688,REGULAR AIR,17-12-11
SHP_79,9509,EXPRESS AIR,8-10-12
SHP_80,9509,REGULAR AIR,7-10-12
SHP_188,24007,REGULAR AIR,30-8-10
SHP_385,49154,REGULAR AIR,7-3-09
SHP_373,46912,REGULAR AIR,30-6-12
SHP_187,24007,REGULAR AIR,2-9-10
SHP_187,24007,REGULAR AIR,2-9-10
SHP_78,9509,DELIVERY TRUCK,8-10-12
SHP_768,44162,REGULAR AIR,20-3-10
SHP_669,35,REGULAR AIR,23-10-11
SHP_731,23907,REGULAR AIR,14-7-11
SHP_670,35,REGULAR AIR,24-10-11
SHP_763,38336,REGULAR AIR,6-10-12
SHP_763,38336,REGULAR AIR,6-10-12
SHP_743,28068,REGULAR AIR,28-8-10
SHP_4709,35461,REGULAR AIR,2-6-09
SHP_4714,35782,DELIVERY TRUCK,10-8-11
SHP_4713,35782,REGULAR AIR,12-8-11
SHP_4708,35461,REGULAR AIR,1-6-09
SHP_4725,37124,REGULAR AIR,1-4-12
SHP_722,18471,REGULAR AIR,20-2-09
SHP_722,18471,REGULAR AIR,20-2-09
SHP_722,18471,REGULAR AIR,20-2-09
SHP_707,11553,REGULAR AIR,20-4-09
SHP_676,1314,REGULAR AIR,14-5-09
SHP_689,6337,DELIVERY TRUCK,1-9-11
SHP_706,11553,DELIVERY TRUCK,21-4-09
SHP_764,38565,EXPRESS AIR,27-3-09
SHP_688,6337,REGULAR AIR,2-9-11
SHP_736,24132,REGULAR AIR,15-7-09
SHP_711,12199,REGULAR AIR,19-12-11
SHP_735,24132,REGULAR AIR,13-7-09
SHP_735,24132,REGULAR AIR,13-7-09
SHP_729,21892,REGULAR AIR,6-7-10
SHP_734,24132,REGULAR AIR,6-7-09
SHP_733,24132,REGULAR AIR,11-7-09
SHP_733,24132,REGULAR AIR,11-7-09
SHP_712,12199,REGULAR AIR,18-12-11
SHP_705,11553,EXPRESS AIR,19-4-09
SHP_7421,39301,REGULAR AIR,24-3-09
SHP_7335,5347,REGULAR AIR,23-2-11
SHP_7337,5347,REGULAR AIR,22-2-11
SHP_7336,5347,REGULAR AIR,24-2-11
SHP_7449,53798,REGULAR AIR,26-4-09
SHP_7450,53798,DELIVERY TRUCK,24-4-09
SHP_7458,58657,REGULAR AIR,29-3-10
SHP_7044,46048,EXPRESS AIR,13-12-12
SHP_7030,26688,REGULAR AIR,19-8-10
SHP_7043,43044,REGULAR AIR,19-10-09
SHP_7043,43044,REGULAR AIR,19-10-09
SHP_7029,26688,REGULAR AIR,20-8-10
SHP_7027,22563,REGULAR AIR,23-5-12
SHP_7045,46048,REGULAR AIR,13-12-12
SHP_7049,49798,REGULAR AIR,8-12-12
SHP_7046,48354,EXPRESS AIR,21-4-11
SHP_7037,31810,REGULAR AIR,21-5-09
SHP_7048,49798,DELIVERY TRUCK,9-12-12
SHP_6048,929,REGULAR AIR,3-10-12
SHP_6097,4870,DELIVERY TRUCK,6-8-09
SHP_6411,31590,REGULAR AIR,7-6-10
SHP_6047,929,REGULAR AIR,4-10-12
